,Date,type,Month,Open,High,Low,Close,Price change,Price change Ratio,Volume,Final Price,# of OC,Final BBP,Final BSP,Hitorical HP,Historical LP,MA5,MA10,MA20,BBAND5UP,BBAND5LOW,BBAND10UP,BBAND10LOW,BBAND20UP,BBAND20LOW,OutLots
10,2010-01-18,TX,201001,8300,8383,8286,8353,-14,-0.17%,78516,8351,49011,8352,8353,8385,7410,8303.6,8271.9,8142.1,8419.221908,8318.778092,8341.391561,8214.608439,8323.95,7960.25,0
11,2010-01-19,TX,201001,8370,8382,8230,8270,-81,-0.97%,121248,8269,35839,8269,8271,8385,7410,8309.2,8290.6,8167.95,8406.73416,8299.26584,8381.613073,8268.386927,8327.94,8007.96,0
12,2010-01-20,TX,201001,8306,8312,8198,8215,-54,-0.65%,67857,0,25310,8214,8215,8385,7410,8301.6,8299.8,8187.2,8326.005714,8213.994286,8351.531138,8264.468862,8327.15,8047.25,0
13,2010-01-21,TX,201002,8185,8213,8112,8134,-82,-1.00%,117077,8134,53155,8132,8134,8353,7582,8301.6,8289.3,8200.6,8271.005714,8158.994286,8264.628722,8165.371278,8320.56,8080.64,0
14,2010-01-22,TX,201002,8019,8023,7884,7897,-237,-2.91%,126740,7897,57449,7897,7898,8353,7582,8268.2,8276.8,8197.9,8221.401144,8046.598856,8369.020291,8232.979709,8323.9,8071.9,0
15,2010-01-25,TX,201002,7822,7912,7802,7852,-45,-0.57%,87477,7852,59162,7852,7853,8353,7582,8173.8,8238.7,8191.4,8052.734903,7741.265097,8501.664276,8236.335724,8330.99,8051.81,0
16,2010-01-26,TX,201002,7832,7886,7520,7556,-296,-3.77%,182130,7558,54769,7556,7559,8353,7520,8073.6,8191.4,8167.0,8020.82488,7683.17512,8524.963484,8181.036516,8361.66,7972.34,0
17,2010-01-27,TX,201002,7574,7633,7509,7534,-24,-0.32%,116963,7535,56155,7534,7537,8353,7509,7930.8,8116.2,8140.85,7788.330282,7323.669718,8520.858845,8019.141155,8378.73,7902.97,0
18,2010-01-28,TX,201002,7579,7745,7555,7699,164,2.18%,117356,7697,53073,7697,7699,8353,7509,7794.6,8048.1,8121.15,7759.306547,7308.693453,8517.013394,7912.986606,8377.91,7864.39,0
19,2010-01-29,TX,201002,7552,7633,7442,7580,-117,-1.52%,148605,7581,53861,7578,7580,8353,7442,7707.6,7987.9,8090.15,7847.268135,7550.731865,8439.580251,7828.419749,8371.63,7808.67,0
20,2010-02-01,TX,201002,7569,7634,7442,7513,-68,-0.90%,133007,7510,58055,7510,7513,8353,7442,7644.2,7909.0,8090.45,7698.514809,7461.485191,8195.778513,7598.221487,8560.077379,7995.922621,0
21,2010-02-02,TX,201002,7580,7603,7346,7371,-139,-1.85%,143485,7374,59631,7371,7373,8353,7346,7576.4,7825.0,8057.8,7578.233734,7447.766266,8131.60794,7572.39206,8633.04003,8016.95997,0
22,2010-02-03,TX,201002,7456,7528,7390,7501,127,1.72%,139624,7501,57371,7500,7501,8353,7346,7539.4,7735.1,8017.45,7477.023771,7264.976229,7822.284979,7289.715021,8648.768026,7967.231974,0
23,2010-02-04,TX,201002,7503,7538,7460,7507,6,0.08%,90229,7505,54743,7505,7507,8353,7346,7532.8,7663.7,7976.5,7608.17537,7393.82463,7753.6807,7314.3193,8566.005912,7863.994088,0
24,2010-02-05,TX,201002,7300,7321,7130,7201,-304,-4.05%,127511,7202,54340,7200,7202,8353,7130,7494.4,7601.0,7938.9,7574.97529,7439.02471,7856.052857,7541.947143,8659.91864,7942.08136,0
25,2010-02-06,TX,201002,7229,7236,7056,7155,-47,-0.65%,102594,7155,55080,7155,7156,8353,7056,7418.6,7531.4,7885.05,7321.938993,7080.061007,7744.498754,7415.501246,8752.924664,7985.075336,0
26,2010-02-08,TX,201002,7155,7235,7125,7160,5,0.07%,99368,7162,48399,7161,7163,8353,7056,7347.0,7461.7,7826.55,7302.018366,7007.981634,7674.527118,7351.472882,8754.181689,7951.818311,0
27,2010-02-09,TX,201002,7171,7344,7151,7316,154,2.15%,115841,7316,37004,7316,7318,8353,7056,7304.8,7422.1,7769.15,7323.438551,6996.561449,7551.930622,7190.069378,8680.215465,7859.784535,0
28,2010-02-10,TX,201002,7350,7479,7345,7419,103,1.41%,117786,7414,27576,7417,7419,8353,7056,7267.8,7400.3,7724.2,7448.926145,7183.073855,7680.260174,7321.739826,8623.147473,7806.852527,0
29,2010-02-22,TX,201002,7708,7708,7553,7558,144,1.94%,49687,0,20726,7558,7559,8353,7056,7250.2,7372.3,7680.1,7521.413671,7316.586329,7656.876649,7357.123351,8524.719836,7743.280164,0
30,2010-02-23,TX,201003,7534,7552,7451,7535,1,0.01%,90651,7537,45011,7534,7535,8322,5193,7321.6,7370.1,7639.55,7712.449474,7403.550526,7347.944513,7054.055487,8254.818316,7539.181684,0
31,2010-02-24,TX,201003,7468,7545,7458,7480,-57,-0.76%,83099,7481,47018,7480,7482,8322,5193,7397.6,7372.3,7598.65,7682.089904,7387.910096,7304.214644,7005.785356,8170.523355,7533.476645,0
32,2010-02-25,TX,201003,7505,7522,7335,7368,-113,-1.51%,124223,7368,51638,7368,7369,8322,5193,7461.6,7383.2,7559.15,7567.216054,7392.783946,7312.662897,7007.337103,7835.401552,7276.598448,0
33,2010-02-26,TX,201003,7378,7434,7341,7383,15,0.20%,91371,7383,50532,7382,7383,8322,5193,7472.0,7369.9,7516.8,7438.787004,7297.212996,7463.52793,7168.47207,7771.890017,7296.109983,0
34,2010-03-01,TX,201003,7413,7605,7395,7575,192,2.60%,118336,7571,52094,7572,7575,8322,5193,7464.8,7357.5,7479.25,7460.339253,7305.660747,7559.528467,7278.471533,7891.431774,7506.568226,0
35,2010-03-02,TX,201003,7595,7649,7569,7601,30,0.40%,85761,7598,51293,7599,7601,8322,5193,7468.2,7394.9,7463.15,7656.617155,7493.382845,7701.634571,7414.365429,7748.829581,7411.170419,0
36,2010-03-03,TX,201003,7596,7664,7578,7611,13,0.17%,90229,7612,51406,7611,7612,8322,5193,7481.4,7439.5,7450.6,7696.508324,7505.491676,7665.897861,7404.102139,7660.430797,7365.569203,0
37,2010-03-04,TX,201003,7622,7639,7463,7526,-86,-1.13%,117200,7527,51817,7526,7528,8322,5193,7507.6,7484.6,7453.35,7719.601289,7502.398711,7581.140694,7378.859306,7520.86403,7221.13597,0
38,2010-03-05,TX,201003,7603,7692,7558,7659,132,1.75%,117270,7656,50799,7656,7659,8322,5193,7539.2,7505.6,7452.95,7609.461129,7442.538871,7452.363736,7283.636264,7650.65877,7351.34123,0
39,2010-03-08,TX,201003,7729,7758,7686,7755,99,1.29%,78128,7756,52404,7755,7756,8322,5193,7594.4,7529.6,7450.95,7702.697139,7615.302861,7473.246551,7292.753449,7653.593136,7360.406864,0
40,2010-03-09,TX,201003,7771,7774,7724,7764,8,0.10%,57308,7764,52333,7764,7766,8322,5193,7630.4,7549.3,7459.7,7830.476089,7679.523911,7687.943393,7462.056607,7359.753299,7042.246701,0
41,2010-03-10,TX,201003,7771,7792,7703,7769,5,0.06%,80818,7769,52470,7768,7769,8322,5193,7663.0,7572.2,7472.25,7853.614731,7674.385269,7730.695644,7471.304356,7326.851644,6983.148356,0
42,2010-03-11,TX,201003,7800,7808,7731,7757,-12,-0.15%,84883,7758,53340,7757,7759,8322,5193,7694.6,7601.1,7492.15,7862.480693,7675.519307,7748.872006,7473.127994,7341.734497,6978.265503,0
43,2010-03-12,TX,201003,7785,7788,7711,7754,-4,-0.05%,66469,7752,50641,7753,7754,8322,5193,7740.8,7640.0,7504.95,7798.203883,7715.796117,7646.384384,7405.615616,7506.7012,7125.2988,0
44,2010-03-15,TX,201003,7756,7758,7631,7655,-97,-1.25%,111429,7655,43617,7655,7656,8322,5193,7759.8,7677.1,7517.3,7759.775812,7748.224188,7747.378108,7570.621892,7617.281391,7220.718609,0
45,2010-03-16,TX,201003,7651,7707,7642,7703,48,0.63%,61394,7704,34762,7703,7704,8322,5193,7739.8,7685.1,7540.0,7697.724232,7612.275768,7837.177187,7672.822813,7744.40279,7371.59721,0
46,2010-03-17,TX,201003,7750,7844,7745,7842,138,1.79%,63598,0,28298,7842,7843,8322,5193,7727.6,7695.3,7567.4,7745.781304,7660.218696,7841.290426,7686.709574,7702.070165,7367.929835,0
47,2010-03-18,TX,201004,7837,7922,7818,7850,14,0.18%,93097,7849,39309,7850,7852,7922,7300,7742.2,7718.4,7601.5,7904.383972,7779.616028,7851.955651,7686.044349,7629.067602,7330.932398,0
48,2010-03-19,TX,201004,7850,7884,7826,7867,18,0.23%,66434,7867,41304,7867,7868,7922,7300,7760.8,7750.8,7628.2,7926.329287,7773.670713,7819.14467,7694.85533,7511.249293,7224.750707,0
49,2010-03-22,TX,201004,7830,7840,7745,7802,-65,-0.83%,92460,7803,41969,7801,7802,7922,7300,7783.4,7771.6,7650.6,7953.958841,7780.041159,7816.744243,7691.255757,7526.811126,7239.188874,0
50,2010-03-23,TX,201004,7850,7863,7756,7804,1,0.01%,90596,7805,42008,7804,7805,7922,7300,7812.8,7776.3,7662.8,7860.901273,7743.098727,7718.08415,7591.91585,7720.774346,7429.225654,0
51,2010-03-24,TX,201004,7865,7876,7804,7815,10,0.13%,84035,7814,43787,7813,7814,7922,7300,7833.0,7780.3,7676.25,7829.799225,7778.200775,7766.444543,7639.555457,7746.77204,7455.22796,0
52,2010-03-25,TX,201004,7792,7858,7716,7803,-11,-0.14%,129037,7809,44200,7803,7806,7922,7300,7827.6,7784.9,7693.0,7841.173269,7788.826731,7906.122461,7777.877539,7752.441861,7469.558139,0
53,2010-03-26,TX,201004,7809,7917,7724,7886,77,0.99%,138132,7883,41602,7882,7886,7922,7300,7818.2,7789.5,7714.75,7827.84673,7778.15327,7913.603852,7786.396148,7647.887192,7404.112808,0
54,2010-03-29,TX,201004,7912,7966,7885,7957,74,0.94%,80247,7956,42555,7955,7957,7966,7300,7822.0,7802.7,7739.9,7918.341923,7853.658077,7935.384282,7798.615718,7759.932601,7558.067399,0
55,2010-03-30,TX,201004,7977,7991,7940,7961,5,0.06%,62687,7959,43555,7960,7961,7991,7300,7853.0,7832.9,7759.0,8017.41523,7896.58477,7864.957843,7739.042157,7859.017306,7650.982694,0
56,2010-03-31,TX,201004,7946,7970,7895,7906,-53,-0.67%,74622,7908,43885,7906,7908,7991,7300,7884.4,7858.7,7777.0,8028.205952,7893.794048,7861.02289,7746.97711,7870.243117,7657.756883,0
57,2010-04-01,TX,201004,7940,8041,7926,8025,117,1.48%,95385,8024,46080,8024,8025,8041,7300,7902.6,7865.1,7791.75,7963.579858,7848.420142,7873.365144,7756.634856,7871.58795,7666.41205,0
58,2010-04-02,TX,201004,8024,8047,8015,8039,15,0.19%,40155,8037,44134,8038,8039,8047,7300,7947.0,7882.6,7816.7,8073.542765,7976.457235,7878.061575,7727.938425,7852.346264,7661.653736,0
59,2010-04-06,TX,201004,8071,8142,8062,8096,59,0.73%,87309,8095,49165,8096,8097,8142,7300,7977.6,7899.8,7835.7,8087.668676,7990.331324,7974.09177,7797.90823,7853.786322,7654.213678,0
60,2010-04-07,TX,201004,8125,8140,8095,8126,31,0.38%,62123,8124,50819,8125,8126,8142,7300,8005.4,7929.2,7852.75,8161.685919,8030.314081,8055.938163,7858.061837,7767.821928,7542.178072,0
61,2010-04-08,TX,201004,8110,8170,8045,8081,-43,-0.53%,127263,8081,50411,8081,8083,8170,7300,8038.4,7961.4,7870.85,8201.764372,8050.235628,8066.154363,7855.845637,7828.461657,7577.538343,0
62,2010-04-09,TX,201004,8077,8105,8046,8101,20,0.25%,71514,8099,51822,8098,8101,8170,7300,8073.4,7988.0,7886.45,8118.043758,8043.956242,8004.168223,7807.831777,7973.098236,7710.901764,0
63,2010-04-12,TX,201004,8158,8168,8086,8126,27,0.33%,79826,8126,53729,8126,8127,8170,7300,8088.6,8017.8,7903.65,8129.72351,8072.27649,8106.261061,7943.738939,7985.479251,7714.520749,0
64,2010-04-13,TX,201004,8086,8119,8013,8019,-107,-1.32%,118213,8019,53074,8018,8019,8170,7300,8106.0,8041.8,7922.25,8143.606817,8108.393183,8112.898309,7965.101691,8006.143406,7727.856594,0
65,2010-04-14,TX,201004,8065,8114,8038,8112,93,1.16%,79410,8111,52814,8111,8112,8170,7300,8090.6,8048.0,7940.45,8058.580803,7979.419197,8164.959408,8027.040592,7928.200426,7675.799574,0
66,2010-04-15,TX,201004,8153,8196,8130,8158,47,0.58%,82591,8162,52236,8158,8159,8196,7300,8087.8,8063.1,7960.9,8149.413367,8074.586633,8190.653616,8061.346384,7922.998697,7685.001303,0
67,2010-04-16,TX,201004,8147,8155,8070,8102,-60,-0.74%,97706,8102,48574,8102,8105,8196,7300,8103.2,8088.3,7976.7,8204.248892,8111.751108,8125.470327,8036.529673,7938.071565,7691.928435,0
68,2010-04-19,TX,201004,8002,8033,7821,7822,-280,-3.46%,132915,7825,44857,7822,7824,8196,7300,8103.4,8096.0,7989.3,8148.241107,8055.758893,8140.196939,8061.803061,7925.35281,7680.64719,0
69,2010-04-20,TX,201004,7880,7911,7825,7876,51,0.65%,90356,7877,36408,7875,7876,8196,7300,8042.6,8074.3,7987.05,7941.065696,7702.934304,8216.819656,8035.180344,8010.966986,7761.033014,0
70,2010-04-21,TX,201004,7950,7998,7923,7980,103,1.31%,75433,0,24967,7980,7981,8196,7300,8014.0,8052.3,7990.75,8013.107257,7738.892743,8126.932433,7911.067567,8077.447032,7836.552968,0
71,2010-04-22,TX,201005,7905,7953,7843,7925,-31,-0.39%,116094,7923,47301,7924,7925,8161,7688,7987.6,8037.7,7999.55,8108.108704,7851.891296,8218.844794,8005.155206,8073.658988,7848.341012,0
72,2010-04-23,TX,201005,7951,7983,7937,7958,35,0.44%,79346,7959,46124,7958,7959,8161,7688,7941.0,8022.1,8005.05,8021.004167,7828.995833,8268.70271,8047.29729,8012.003526,7799.996474,0
73,2010-04-26,TX,201005,8077,8162,8070,8148,189,2.37%,87141,8146,47526,8145,8148,8162,7688,7912.2,8007.8,8012.8,8015.104816,7900.895184,8210.806985,7993.193015,8121.156955,7928.843045,0
74,2010-04-27,TX,201005,8148,8152,8109,8130,-16,-0.20%,60876,8129,47546,8129,8130,8162,7688,7977.4,8010.0,8025.9,8240.21193,8055.78807,7933.366961,7710.633039,8134.836267,7943.163733,0
75,2010-04-28,TX,201005,7961,8059,7920,8035,-94,-1.16%,116469,8036,48627,8035,8036,8162,7688,8028.2,8021.1,8034.55,8222.322045,8037.677955,7993.095218,7758.904782,8193.027045,7998.972955,0
76,2010-04-29,TX,201005,8036,8065,8011,8043,7,0.09%,70064,8043,45233,8043,8044,8162,7688,8039.2,8013.4,8038.25,8124.145723,7945.854277,8093.335961,7866.664039,8221.551491,8030.448509,0
77,2010-04-30,TX,201005,8128,8152,7966,7989,-54,-0.67%,131598,7989,46537,7989,7990,8162,7688,8062.8,8001.9,8045.1,8112.170514,7973.829486,8028.486666,7821.513334,8171.607891,7990.392109,0
78,2010-05-03,TX,201005,7925,8001,7876,7931,-58,-0.73%,116275,7932,47033,7931,7934,8162,7688,8069.0,7990.6,8043.3,8049.322467,7928.677533,8055.961421,7860.038579,8192.343911,8009.656089,0
79,2010-05-04,TX,201005,7968,7982,7848,7880,-52,-0.66%,129308,7881,47587,7880,7881,8162,7688,8025.6,8001.5,8037.9,7996.695053,7865.304947,8231.607715,8064.392285,8220.573728,8031.426272,0
80,2010-05-05,TX,201005,7690,7750,7649,7657,-224,-2.84%,139679,7655,48620,7657,7658,8162,7649,7975.6,8001.9,8027.1,7942.256245,7817.743755,8213.013794,8046.986206,8118.525826,7919.474174,0
81,2010-05-06,TX,201005,7643,7669,7512,7579,-76,-0.99%,128579,7578,47751,7579,7581,8162,7512,7900.0,7969.6,8003.65,7790.251642,7523.748358,8168.02496,7901.97504,8237.359992,7986.640008,0
