,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA3,MA5,MA10,STD5,norm_Open,norm_High,norm_Low,norm_Close,norm_Volume
0,0,2000-01-03,1469.25,1478.0,1438.3599853515625,1455.219970703125,931800000,0.0,0.0,,,,,0.19149720650619542,0.18982864950363076,0.1875815950586876,0.18900103539758456,0.05186681993773063
1,1,2000-01-04,1455.219970703125,1455.219970703125,1397.4300537109375,1399.4200439453125,1009000000,0.0,0.0,,,,,0.18809617669849235,0.18430400843329736,0.17763084296890963,0.17545746256898181,0.058821674642527674
2,2,2000-01-05,1399.4200439453125,1413.27001953125,1377.6800537109375,1402.1099853515625,1085500000,0.0,0.0,1441.2966715494792,,,,0.17456967506722074,0.17413025403982013,0.17282928709291465,0.1761103562098345,0.06571346719326568
3,3,2000-01-06,1402.1099853515625,1411.9000244140625,1392.0999755859375,1403.449951171875,1092300000,0.0,0.0,1418.9166666666667,,,,0.1752217457585962,0.1737980011181082,0.17633501168077767,0.1764355882617332,0.0663260709755535
4,4,2000-01-07,1403.449951171875,1441.469970703125,1400.72998046875,1441.469970703125,1225200000,0.0,0.0,1401.6599934895833,1425.889990234375,,33.57841659113532,0.1755465678669293,0.18096934131206124,0.17843311044811608,0.1856636810816631,0.07829887136761993
5,5,2000-01-10,1441.469970703125,1464.3599853515625,1441.469970703125,1457.5999755859375,1064800000,0.0,0.0,1415.6766357421875,1420.333984375,,26.068849140573032,0.184763029000338,0.18652065616680724,0.1883376845999055,0.18957870227522589,0.06384862920894833
6,6,2000-01-11,1457.5999755859375,1458.6600341796875,1434.4200439453125,1438.56005859375,1014000000,0.0,0.0,1434.1732991536458,1420.8099853515623,,26.87437792886993,0.18867311544734636,0.18513829691113431,0.18662372929614301,0.18495739688259583,0.05927211860009225
7,7,2000-01-12,1438.56005859375,1442.5999755859375,1427.0799560546875,1432.25,974600000,0.0,0.0,1445.8766682942708,1428.63798828125,,24.698563286450256,0.18405763504766928,0.18124339150330132,0.18483923095986202,0.18342584042575444,0.0557226202144834
8,8,2000-01-13,1432.25,1454.199951171875,1432.25,1449.6800537109375,1030400000,0.0,0.0,1442.8033447265625,1434.6659912109376,,19.797119148227264,0.18252800906388914,0.18405663202646988,0.1860961552578249,0.18765640515149556,0.06074957478090406
9,9,2000-01-14,1449.6800537109375,1473.0,1449.6800537109375,1465.1500244140625,1085900000,0.0,0.0,1440.1633707682292,1443.91201171875,1434.9010009765625,9.889895691506684,0.18675324131154863,0.18861604327772674,0.19033369332438996,0.19141122504191396,0.06574950270987084
10,10,2000-01-18,1465.1500244140625,1465.1500244140625,1451.300048828125,1455.1400146484375,1056700000,0.0,0.0,1449.0266927083333,1448.6480224609377,1434.4910034179688,13.45530357637105,0.1905033283835222,0.18671225742398623,0.19072754127750463,0.18898162872964308,0.06311890999769372
11,11,2000-01-19,1455.1400146484375,1461.3900146484375,1448.6800537109375,1455.9000244140625,1087800000,0.0,0.0,1456.6566975911458,1448.1560302734374,1434.4830078125,13.086051673220355,0.18807679449197343,0.18580037517373485,0.19009057657117504,0.1891660957748395,0.06592067141374539
12,12,2000-01-20,1455.9000244140625,1465.7099609375,1438.5400390625,1445.5699462890625,1100700000,0.0,0.0,1458.7300211588542,1451.6240234375,1440.131005859375,12.1730325250071,0.18826102902294564,0.1868480539268725,0.18762536913229502,0.18665881353380134,0.067082816824262
13,13,2000-01-21,1445.5699462890625,1453.1800537109375,1439.5999755859375,1441.3599853515625,1209800000,0.0,0.0,1452.2033284505208,1454.2880126953123,1444.477001953125,7.391646561376823,0.1857569071230112,0.18380928522428655,0.18788305745848707,0.18563698580255578,0.07691150397832103
14,14,2000-01-24,1441.3599853515625,1454.0899658203125,1395.4200439453125,1401.530029296875,1115800000,0.0,0.0,1447.6099853515625,1452.6239990234376,1448.2680053710938,9.362179941810922,0.18473636736969135,0.18402995824205728,0.17714217592076056,0.17596959120313224,0.06844315757610701
15,15,2000-01-25,1401.530029296875,1414.260009765625,1388.489990234375,1410.030029296875,1073700000,0.0,0.0,1429.4866536458333,1439.9,1444.274011230469,22.33155462367938,0.1750811581812353,0.17437034770417761,0.17545736376295232,0.1780326829620655,0.06465041945341328
16,16,2000-01-26,1410.030029296875,1412.72998046875,1400.1600341796875,1404.0899658203125,1117300000,0.0,0.0,1417.6400146484375,1430.8780029296877,1439.5170166015623,23.70531731109512,0.1771416494855489,0.17399928309393636,0.1782945469568123,0.17659093049076707,0.06857829076337639
17,17,2000-01-27,1404.0899658203125,1418.8599853515625,1370.989990234375,1398.56005859375,1129500000,0.0,0.0,1405.2166748046875,1420.5159912109375,1436.0700073242188,21.22739511804256,0.1757017142925456,0.1754859395110805,0.17120282058169095,0.17524872978173336,0.06967737401983395
18,18,2000-01-28,1398.56005859375,1398.56005859375,1356.199951171875,1360.1600341796875,1095800000,0.0,0.0,1404.2266845703125,1411.114013671875,1432.7010131835937,17.426887399924453,0.17436120538031114,0.1705627759966966,0.1676071143048939,0.16592840343920526,0.0666413817458487
